[2017/04/09_04:52:58]: Logged:Clerk w/ name: Micheal, id: 1234
[2017/04/09_04:52:58]: A new transaction started by Clerk w/ name: Micheal, id: 1234
[2017/04/09_04:52:58]: A new transaction started by Clerk w/ name: Micheal, id: 1234
[2017/04/09_04:54:30]: Logged:Clerk w/ name: Micheal, id: 45
[2017/04/28_18:12:17]: Logged:Clerk w/ name: Micheal, id: 2
[2017/04/28_18:12:17]: A new transaction started by Clerk w/ name: Micheal, id: 2
[2017/04/28_18:25:51]: Logged:Clerk w/ name: Micheal, id: 2
[2017/04/28_18:31:30]: Logged:Clerk w/ name: Micheal, id: 2
[2017/04/28_18:31:30]: A new transaction started by Clerk w/ name: Micheal, id: 2
[2017/04/29_00:08:29]: Logged:Clerk w/ name: Micheal, id: 2
[2017/04/29_00:08:29]: A new transaction started by Clerk w/ name: Micheal, id: 2
[2017/04/29_00:09:08]: Logged:Clerk w/ name: Micheal, id: 1
[2017/04/29_00:09:08]: A new transaction started by Clerk w/ name: Micheal, id: 1
[2017/04/29_00:09:08]: A new transaction started by Clerk w/ name: Micheal, id: 1
[2017/04/29_21:00:30]: Logged:Clerk w/ name: Micheal, id: 2
[2017/04/29_21:00:30]: A new transaction started by Clerk w/ name: Micheal, id: 2
[2017/04/29_21:00:30]: A new transaction started by Clerk w/ name: Micheal, id: 2
[2017/04/29_21:09:21]: Logged:Clerk w/ name: Micheal, id: 2
[2017/04/29_21:09:21]: A new transaction started by Clerk w/ name: Micheal, id: 2
[2017/04/29_21:09:21]: A new transaction started by Clerk w/ name: Micheal, id: 2
[2017/04/29_21:09:21]: A new transaction started by Clerk w/ name: Micheal, id: 2
[2017/05/11_23:29:16]: Logged:Clerk w/ name: Micheal, id: 1
[2017/05/11_23:29:16]: A new transaction started by Clerk w/ name: Micheal, id: 1
